group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
argon2id,verify,m278528_t1_p4,,,140094019.0,ns,1
argon2id,verify,m278528_t1_p4,,,278516472.0,ns,2
argon2id,verify,m278528_t1_p4,,,419010423.0,ns,3
argon2id,verify,m278528_t1_p4,,,557513328.0,ns,4
argon2id,verify,m278528_t1_p4,,,703656468.0,ns,5
argon2id,verify,m278528_t1_p4,,,835217368.0,ns,6
argon2id,verify,m278528_t1_p4,,,986980003.0,ns,7
argon2id,verify,m278528_t1_p4,,,1122293313.0,ns,8
argon2id,verify,m278528_t1_p4,,,1259817781.0,ns,9
argon2id,verify,m278528_t1_p4,,,1396027503.0,ns,10
