group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
argon2id,hash,m16384_t2_p2,,,91210543.0,ns,11
argon2id,hash,m16384_t2_p2,,,182261405.0,ns,22
argon2id,hash,m16384_t2_p2,,,272973794.0,ns,33
argon2id,hash,m16384_t2_p2,,,364988545.0,ns,44
argon2id,hash,m16384_t2_p2,,,456538313.0,ns,55
argon2id,hash,m16384_t2_p2,,,547763544.0,ns,66
argon2id,hash,m16384_t2_p2,,,641507104.0,ns,77
argon2id,hash,m16384_t2_p2,,,731483278.0,ns,88
argon2id,hash,m16384_t2_p2,,,821865885.0,ns,99
argon2id,hash,m16384_t2_p2,,,917921879.0,ns,110
