group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
argon2id,hash,m196608_t3_p2,,,749573265.0,ns,3
argon2id,hash,m196608_t3_p2,,,735047506.0,ns,3
argon2id,hash,m196608_t3_p2,,,732458446.0,ns,3
argon2id,hash,m196608_t3_p2,,,729287380.0,ns,3
argon2id,hash,m196608_t3_p2,,,735816290.0,ns,3
argon2id,hash,m196608_t3_p2,,,734329403.0,ns,3
argon2id,hash,m196608_t3_p2,,,734574782.0,ns,3
argon2id,hash,m196608_t3_p2,,,733827774.0,ns,3
argon2id,hash,m196608_t3_p2,,,735621010.0,ns,3
argon2id,hash,m196608_t3_p2,,,734297042.0,ns,3
