group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
argon2id,hash,m507904_t1_p8,,,552135541.0,ns,2
argon2id,hash,m507904_t1_p8,,,553481798.0,ns,2
argon2id,hash,m507904_t1_p8,,,554631636.0,ns,2
argon2id,hash,m507904_t1_p8,,,555828865.0,ns,2
argon2id,hash,m507904_t1_p8,,,557615678.0,ns,2
argon2id,hash,m507904_t1_p8,,,548098093.0,ns,2
argon2id,hash,m507904_t1_p8,,,547174790.0,ns,2
argon2id,hash,m507904_t1_p8,,,552584464.0,ns,2
argon2id,hash,m507904_t1_p8,,,557119768.0,ns,2
argon2id,hash,m507904_t1_p8,,,549688839.0,ns,2
