group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
argon2id,verify,m32768_t1_p16,,,99403725.0,ns,7
argon2id,verify,m32768_t1_p16,,,200596724.0,ns,14
argon2id,verify,m32768_t1_p16,,,301134454.0,ns,21
argon2id,verify,m32768_t1_p16,,,399679381.0,ns,28
argon2id,verify,m32768_t1_p16,,,501282540.0,ns,35
argon2id,verify,m32768_t1_p16,,,600717135.0,ns,42
argon2id,verify,m32768_t1_p16,,,700649932.0,ns,49
argon2id,verify,m32768_t1_p16,,,798446118.0,ns,56
argon2id,verify,m32768_t1_p16,,,896962034.0,ns,63
argon2id,verify,m32768_t1_p16,,,997067980.0,ns,70
