group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
argon2id,verify,m393216_t3_p16,,,966763610.0,ns,1
argon2id,verify,m393216_t3_p16,,,931953638.0,ns,1
argon2id,verify,m393216_t3_p16,,,774991604.0,ns,1
argon2id,verify,m393216_t3_p16,,,680554104.0,ns,1
argon2id,verify,m393216_t3_p16,,,714357547.0,ns,1
argon2id,verify,m393216_t3_p16,,,673103575.0,ns,1
argon2id,verify,m393216_t3_p16,,,714495272.0,ns,1
argon2id,verify,m393216_t3_p16,,,714927930.0,ns,1
argon2id,verify,m393216_t3_p16,,,704683555.0,ns,1
argon2id,verify,m393216_t3_p16,,,746548230.0,ns,1
