group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
argon2id,verify,m425984_t2_p1,,,820735790.0,ns,2
argon2id,verify,m425984_t2_p1,,,820444016.0,ns,2
argon2id,verify,m425984_t2_p1,,,819118332.0,ns,2
argon2id,verify,m425984_t2_p1,,,819780928.0,ns,2
argon2id,verify,m425984_t2_p1,,,819751305.0,ns,2
argon2id,verify,m425984_t2_p1,,,817760302.0,ns,2
argon2id,verify,m425984_t2_p1,,,826570791.0,ns,2
argon2id,verify,m425984_t2_p1,,,819395756.0,ns,2
argon2id,verify,m425984_t2_p1,,,819379958.0,ns,2
argon2id,verify,m425984_t2_p1,,,819110827.0,ns,2
