group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
argon2id,verify,m475136_t3_p8,,,986788991.0,ns,1
argon2id,verify,m475136_t3_p8,,,1008510610.0,ns,1
argon2id,verify,m475136_t3_p8,,,1021334760.0,ns,1
argon2id,verify,m475136_t3_p8,,,1039806068.0,ns,1
argon2id,verify,m475136_t3_p8,,,1040445289.0,ns,1
argon2id,verify,m475136_t3_p8,,,1033740787.0,ns,1
argon2id,verify,m475136_t3_p8,,,1032924777.0,ns,1
argon2id,verify,m475136_t3_p8,,,1006237991.0,ns,1
argon2id,verify,m475136_t3_p8,,,1030473498.0,ns,1
argon2id,verify,m475136_t3_p8,,,1009537316.0,ns,1
