group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
argon2id,hash,m720896_t3_p4,,,992877374.0,ns,1
argon2id,hash,m720896_t3_p4,,,982522173.0,ns,1
argon2id,hash,m720896_t3_p4,,,982415814.0,ns,1
argon2id,hash,m720896_t3_p4,,,986056701.0,ns,1
argon2id,hash,m720896_t3_p4,,,984367913.0,ns,1
argon2id,hash,m720896_t3_p4,,,981950916.0,ns,1
argon2id,hash,m720896_t3_p4,,,986349328.0,ns,1
argon2id,hash,m720896_t3_p4,,,981150563.0,ns,1
argon2id,hash,m720896_t3_p4,,,982543087.0,ns,1
argon2id,hash,m720896_t3_p4,,,985110863.0,ns,1
