group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
argon2id,hash,m933888_t1_p2,,,509986630.0,ns,1
argon2id,hash,m933888_t1_p2,,,508814237.0,ns,1
argon2id,hash,m933888_t1_p2,,,514682711.0,ns,1
argon2id,hash,m933888_t1_p2,,,509839482.0,ns,1
argon2id,hash,m933888_t1_p2,,,513556705.0,ns,1
argon2id,hash,m933888_t1_p2,,,510884053.0,ns,1
argon2id,hash,m933888_t1_p2,,,515185022.0,ns,1
argon2id,hash,m933888_t1_p2,,,516182236.0,ns,1
argon2id,hash,m933888_t1_p2,,,511812788.0,ns,1
argon2id,hash,m933888_t1_p2,,,507517899.0,ns,1
