group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
argon2id,hash,m835584_t2_p2,,,808646388.0,ns,1
argon2id,hash,m835584_t2_p2,,,807906577.0,ns,1
argon2id,hash,m835584_t2_p2,,,812941392.0,ns,1
argon2id,hash,m835584_t2_p2,,,823016260.0,ns,1
argon2id,hash,m835584_t2_p2,,,817780945.0,ns,1
argon2id,hash,m835584_t2_p2,,,811580653.0,ns,1
argon2id,hash,m835584_t2_p2,,,808036156.0,ns,1
argon2id,hash,m835584_t2_p2,,,807745083.0,ns,1
argon2id,hash,m835584_t2_p2,,,811881876.0,ns,1
argon2id,hash,m835584_t2_p2,,,816312992.0,ns,1
