group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
argon2id,verify,m999424_t1_p1,,,552695281.0,ns,1
argon2id,verify,m999424_t1_p1,,,550950303.0,ns,1
argon2id,verify,m999424_t1_p1,,,552123937.0,ns,1
argon2id,verify,m999424_t1_p1,,,550784070.0,ns,1
argon2id,verify,m999424_t1_p1,,,555531496.0,ns,1
argon2id,verify,m999424_t1_p1,,,546427700.0,ns,1
argon2id,verify,m999424_t1_p1,,,547738281.0,ns,1
argon2id,verify,m999424_t1_p1,,,550699963.0,ns,1
argon2id,verify,m999424_t1_p1,,,549833896.0,ns,1
argon2id,verify,m999424_t1_p1,,,550863641.0,ns,1
