group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
argon2id,hash,m770048_t3_p8,,,1045386285.0,ns,1
argon2id,hash,m770048_t3_p8,,,1042922816.0,ns,1
argon2id,hash,m770048_t3_p8,,,1042377491.0,ns,1
argon2id,hash,m770048_t3_p8,,,1049352133.0,ns,1
argon2id,hash,m770048_t3_p8,,,1045096408.0,ns,1
argon2id,hash,m770048_t3_p8,,,1043054962.0,ns,1
argon2id,hash,m770048_t3_p8,,,1042739187.0,ns,1
argon2id,hash,m770048_t3_p8,,,1034633138.0,ns,1
argon2id,hash,m770048_t3_p8,,,1037389737.0,ns,1
argon2id,hash,m770048_t3_p8,,,1041459401.0,ns,1
