group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
argon2id,hash,m458752_t1_p2,,,507574626.0,ns,1
argon2id,hash,m458752_t1_p2,,,520983345.0,ns,1
argon2id,hash,m458752_t1_p2,,,518376833.0,ns,1
argon2id,hash,m458752_t1_p2,,,514278220.0,ns,1
argon2id,hash,m458752_t1_p2,,,508386681.0,ns,1
argon2id,hash,m458752_t1_p2,,,502127504.0,ns,1
argon2id,hash,m458752_t1_p2,,,505609690.0,ns,1
argon2id,hash,m458752_t1_p2,,,507635723.0,ns,1
argon2id,hash,m458752_t1_p2,,,501880000.0,ns,1
argon2id,hash,m458752_t1_p2,,,498237083.0,ns,1
