group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
argon2id,verify,m589824_t2_p16,,,553474895.0,ns,1
argon2id,verify,m589824_t2_p16,,,553368027.0,ns,1
argon2id,verify,m589824_t2_p16,,,554625981.0,ns,1
argon2id,verify,m589824_t2_p16,,,555263120.0,ns,1
argon2id,verify,m589824_t2_p16,,,554052431.0,ns,1
argon2id,verify,m589824_t2_p16,,,556298569.0,ns,1
argon2id,verify,m589824_t2_p16,,,554945428.0,ns,1
argon2id,verify,m589824_t2_p16,,,554644349.0,ns,1
argon2id,verify,m589824_t2_p16,,,552440370.0,ns,1
argon2id,verify,m589824_t2_p16,,,591530487.0,ns,1
