group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
argon2id,verify,m638976_t3_p2,,,889807863.0,ns,1
argon2id,verify,m638976_t3_p2,,,890791640.0,ns,1
argon2id,verify,m638976_t3_p2,,,900326598.0,ns,1
argon2id,verify,m638976_t3_p2,,,889670452.0,ns,1
argon2id,verify,m638976_t3_p2,,,888694341.0,ns,1
argon2id,verify,m638976_t3_p2,,,882891667.0,ns,1
argon2id,verify,m638976_t3_p2,,,875273113.0,ns,1
argon2id,verify,m638976_t3_p2,,,893863742.0,ns,1
argon2id,verify,m638976_t3_p2,,,886113522.0,ns,1
argon2id,verify,m638976_t3_p2,,,905040470.0,ns,1
