group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
argon2id,verify,m983040_t3_p8,,,1342122379.0,ns,1
argon2id,verify,m983040_t3_p8,,,1326599929.0,ns,1
argon2id,verify,m983040_t3_p8,,,1338223707.0,ns,1
argon2id,verify,m983040_t3_p8,,,1332117170.0,ns,1
argon2id,verify,m983040_t3_p8,,,1330594450.0,ns,1
argon2id,verify,m983040_t3_p8,,,1340847253.0,ns,1
argon2id,verify,m983040_t3_p8,,,1336188154.0,ns,1
argon2id,verify,m983040_t3_p8,,,1334804275.0,ns,1
argon2id,verify,m983040_t3_p8,,,1330278015.0,ns,1
argon2id,verify,m983040_t3_p8,,,1330944236.0,ns,1
