group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
argon2id,verify,m917504_t1_p4,,,985399028.0,ns,2
argon2id,verify,m917504_t1_p4,,,985335598.0,ns,2
argon2id,verify,m917504_t1_p4,,,993926200.0,ns,2
argon2id,verify,m917504_t1_p4,,,984115989.0,ns,2
argon2id,verify,m917504_t1_p4,,,976904823.0,ns,2
argon2id,verify,m917504_t1_p4,,,975198833.0,ns,2
argon2id,verify,m917504_t1_p4,,,973136754.0,ns,2
argon2id,verify,m917504_t1_p4,,,977176805.0,ns,2
argon2id,verify,m917504_t1_p4,,,976337052.0,ns,2
argon2id,verify,m917504_t1_p4,,,988913787.0,ns,2
