group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
argon2id,hash,m966656_t3_p2,,,1337961212.0,ns,1
argon2id,hash,m966656_t3_p2,,,1346289142.0,ns,1
argon2id,hash,m966656_t3_p2,,,1339095412.0,ns,1
argon2id,hash,m966656_t3_p2,,,1348193487.0,ns,1
argon2id,hash,m966656_t3_p2,,,1335140623.0,ns,1
argon2id,hash,m966656_t3_p2,,,1340904768.0,ns,1
argon2id,hash,m966656_t3_p2,,,1331095555.0,ns,1
argon2id,hash,m966656_t3_p2,,,1359618131.0,ns,1
argon2id,hash,m966656_t3_p2,,,1372417026.0,ns,1
argon2id,hash,m966656_t3_p2,,,1343663698.0,ns,1
