group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
argon2id,hash,m376832_t3_p4,,,975822850.0,ns,2
argon2id,hash,m376832_t3_p4,,,974022666.0,ns,2
argon2id,hash,m376832_t3_p4,,,979618366.0,ns,2
argon2id,hash,m376832_t3_p4,,,975195546.0,ns,2
argon2id,hash,m376832_t3_p4,,,971382642.0,ns,2
argon2id,hash,m376832_t3_p4,,,973353039.0,ns,2
argon2id,hash,m376832_t3_p4,,,973586354.0,ns,2
argon2id,hash,m376832_t3_p4,,,972021876.0,ns,2
argon2id,hash,m376832_t3_p4,,,974932465.0,ns,2
argon2id,hash,m376832_t3_p4,,,980819628.0,ns,2
