group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
argon2id,verify,m491520_t2_p4,,,916585040.0,ns,1
argon2id,verify,m491520_t2_p4,,,916078490.0,ns,1
argon2id,verify,m491520_t2_p4,,,930730953.0,ns,1
argon2id,verify,m491520_t2_p4,,,925947606.0,ns,1
argon2id,verify,m491520_t2_p4,,,921487605.0,ns,1
argon2id,verify,m491520_t2_p4,,,901654860.0,ns,1
argon2id,verify,m491520_t2_p4,,,895673242.0,ns,1
argon2id,verify,m491520_t2_p4,,,914983689.0,ns,1
argon2id,verify,m491520_t2_p4,,,909406651.0,ns,1
argon2id,verify,m491520_t2_p4,,,913343561.0,ns,1
