group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
argon2id,hash,m180224_t2_p8,,,156629573.0,ns,1
argon2id,hash,m180224_t2_p8,,,313419066.0,ns,2
argon2id,hash,m180224_t2_p8,,,470823313.0,ns,3
argon2id,hash,m180224_t2_p8,,,628172437.0,ns,4
argon2id,hash,m180224_t2_p8,,,782479112.0,ns,5
argon2id,hash,m180224_t2_p8,,,936829289.0,ns,6
argon2id,hash,m180224_t2_p8,,,1095125188.0,ns,7
argon2id,hash,m180224_t2_p8,,,1255289964.0,ns,8
argon2id,hash,m180224_t2_p8,,,1410409563.0,ns,9
argon2id,hash,m180224_t2_p8,,,1567226749.0,ns,10
