group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
argon2id,hash,m540672_t1_p1,,,615458926.0,ns,2
argon2id,hash,m540672_t1_p1,,,615466359.0,ns,2
argon2id,hash,m540672_t1_p1,,,611652270.0,ns,2
argon2id,hash,m540672_t1_p1,,,629466672.0,ns,2
argon2id,hash,m540672_t1_p1,,,604655835.0,ns,2
argon2id,hash,m540672_t1_p1,,,615890135.0,ns,2
argon2id,hash,m540672_t1_p1,,,615887170.0,ns,2
argon2id,hash,m540672_t1_p1,,,621392184.0,ns,2
argon2id,hash,m540672_t1_p1,,,607607457.0,ns,2
argon2id,hash,m540672_t1_p1,,,618201995.0,ns,2
