group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
argon2id,hash,m491520_t3_p16,,,655308298.0,ns,1
argon2id,hash,m491520_t3_p16,,,658361389.0,ns,1
argon2id,hash,m491520_t3_p16,,,655607301.0,ns,1
argon2id,hash,m491520_t3_p16,,,659906901.0,ns,1
argon2id,hash,m491520_t3_p16,,,660764040.0,ns,1
argon2id,hash,m491520_t3_p16,,,650027798.0,ns,1
argon2id,hash,m491520_t3_p16,,,654643101.0,ns,1
argon2id,hash,m491520_t3_p16,,,657601655.0,ns,1
argon2id,hash,m491520_t3_p16,,,659330038.0,ns,1
argon2id,hash,m491520_t3_p16,,,656784191.0,ns,1
