group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
argon2id,verify,m262144_t3_p4,,,666144802.0,ns,2
argon2id,verify,m262144_t3_p4,,,668901318.0,ns,2
argon2id,verify,m262144_t3_p4,,,667962580.0,ns,2
argon2id,verify,m262144_t3_p4,,,680315619.0,ns,2
argon2id,verify,m262144_t3_p4,,,689428208.0,ns,2
argon2id,verify,m262144_t3_p4,,,665961590.0,ns,2
argon2id,verify,m262144_t3_p4,,,665428978.0,ns,2
argon2id,verify,m262144_t3_p4,,,664549732.0,ns,2
argon2id,verify,m262144_t3_p4,,,660147626.0,ns,2
argon2id,verify,m262144_t3_p4,,,660236673.0,ns,2
