group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
argon2id,verify,m327680_t3_p1,,,838893756.0,ns,2
argon2id,verify,m327680_t3_p1,,,847665369.0,ns,2
argon2id,verify,m327680_t3_p1,,,845260638.0,ns,2
argon2id,verify,m327680_t3_p1,,,853792089.0,ns,2
argon2id,verify,m327680_t3_p1,,,854277251.0,ns,2
argon2id,verify,m327680_t3_p1,,,890552425.0,ns,2
argon2id,verify,m327680_t3_p1,,,869010933.0,ns,2
argon2id,verify,m327680_t3_p1,,,838872157.0,ns,2
argon2id,verify,m327680_t3_p1,,,840116277.0,ns,2
argon2id,verify,m327680_t3_p1,,,847707891.0,ns,2
