group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
argon2id,hash,m737280_t1_p1,,,840641253.0,ns,2
argon2id,hash,m737280_t1_p1,,,844221175.0,ns,2
argon2id,hash,m737280_t1_p1,,,841278483.0,ns,2
argon2id,hash,m737280_t1_p1,,,842704020.0,ns,2
argon2id,hash,m737280_t1_p1,,,840207128.0,ns,2
argon2id,hash,m737280_t1_p1,,,838190928.0,ns,2
argon2id,hash,m737280_t1_p1,,,843777927.0,ns,2
argon2id,hash,m737280_t1_p1,,,842059349.0,ns,2
argon2id,hash,m737280_t1_p1,,,842229194.0,ns,2
argon2id,hash,m737280_t1_p1,,,842146203.0,ns,2
