group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
argon2id,hash,m999424_t1_p8,,,526142775.0,ns,1
argon2id,hash,m999424_t1_p8,,,526716763.0,ns,1
argon2id,hash,m999424_t1_p8,,,524011152.0,ns,1
argon2id,hash,m999424_t1_p8,,,526588792.0,ns,1
argon2id,hash,m999424_t1_p8,,,525189014.0,ns,1
argon2id,hash,m999424_t1_p8,,,526008222.0,ns,1
argon2id,hash,m999424_t1_p8,,,524081674.0,ns,1
argon2id,hash,m999424_t1_p8,,,526065078.0,ns,1
argon2id,hash,m999424_t1_p8,,,524781298.0,ns,1
argon2id,hash,m999424_t1_p8,,,529385835.0,ns,1
