group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
argon2id,verify,m376832_t1_p2,,,584384181.0,ns,3
argon2id,verify,m376832_t1_p2,,,585539103.0,ns,3
argon2id,verify,m376832_t1_p2,,,584517031.0,ns,3
argon2id,verify,m376832_t1_p2,,,585997074.0,ns,3
argon2id,verify,m376832_t1_p2,,,584820522.0,ns,3
argon2id,verify,m376832_t1_p2,,,585162225.0,ns,3
argon2id,verify,m376832_t1_p2,,,588666193.0,ns,3
argon2id,verify,m376832_t1_p2,,,584334157.0,ns,3
argon2id,verify,m376832_t1_p2,,,585982307.0,ns,3
argon2id,verify,m376832_t1_p2,,,584818758.0,ns,3
