group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
argon2id,verify,m770048_t3_p2,,,1076748355.0,ns,1
argon2id,verify,m770048_t3_p2,,,1066921653.0,ns,1
argon2id,verify,m770048_t3_p2,,,1062605243.0,ns,1
argon2id,verify,m770048_t3_p2,,,1065091412.0,ns,1
argon2id,verify,m770048_t3_p2,,,1074692570.0,ns,1
argon2id,verify,m770048_t3_p2,,,1069718203.0,ns,1
argon2id,verify,m770048_t3_p2,,,1074904055.0,ns,1
argon2id,verify,m770048_t3_p2,,,1075228304.0,ns,1
argon2id,verify,m770048_t3_p2,,,1068712703.0,ns,1
argon2id,verify,m770048_t3_p2,,,1070756591.0,ns,1
