group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
argon2id,hash,m901120_t3_p16,,,1213543905.0,ns,1
argon2id,hash,m901120_t3_p16,,,1214520245.0,ns,1
argon2id,hash,m901120_t3_p16,,,1215495232.0,ns,1
argon2id,hash,m901120_t3_p16,,,1217447897.0,ns,1
argon2id,hash,m901120_t3_p16,,,1215586101.0,ns,1
argon2id,hash,m901120_t3_p16,,,1214978764.0,ns,1
argon2id,hash,m901120_t3_p16,,,1215573097.0,ns,1
argon2id,hash,m901120_t3_p16,,,1216082648.0,ns,1
argon2id,hash,m901120_t3_p16,,,1215897515.0,ns,1
argon2id,hash,m901120_t3_p16,,,1216377160.0,ns,1
