group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
argon2id,verify,m753664_t1_p1,,,853389521.0,ns,2
argon2id,verify,m753664_t1_p1,,,856994756.0,ns,2
argon2id,verify,m753664_t1_p1,,,857954879.0,ns,2
argon2id,verify,m753664_t1_p1,,,853192224.0,ns,2
argon2id,verify,m753664_t1_p1,,,856856019.0,ns,2
argon2id,verify,m753664_t1_p1,,,854057547.0,ns,2
argon2id,verify,m753664_t1_p1,,,851947698.0,ns,2
argon2id,verify,m753664_t1_p1,,,856840274.0,ns,2
argon2id,verify,m753664_t1_p1,,,852077588.0,ns,2
argon2id,verify,m753664_t1_p1,,,859626066.0,ns,2
