group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
argon2id,verify,m950272_t2_p16,,,897389098.0,ns,1
argon2id,verify,m950272_t2_p16,,,889802638.0,ns,1
argon2id,verify,m950272_t2_p16,,,877148429.0,ns,1
argon2id,verify,m950272_t2_p16,,,884352279.0,ns,1
argon2id,verify,m950272_t2_p16,,,897428950.0,ns,1
argon2id,verify,m950272_t2_p16,,,890226772.0,ns,1
argon2id,verify,m950272_t2_p16,,,893081162.0,ns,1
argon2id,verify,m950272_t2_p16,,,884048326.0,ns,1
argon2id,verify,m950272_t2_p16,,,888888587.0,ns,1
argon2id,verify,m950272_t2_p16,,,896466799.0,ns,1
