group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
argon2id,verify,m802816_t1_p2,,,892660804.0,ns,2
argon2id,verify,m802816_t1_p2,,,893563608.0,ns,2
argon2id,verify,m802816_t1_p2,,,895653603.0,ns,2
argon2id,verify,m802816_t1_p2,,,891689893.0,ns,2
argon2id,verify,m802816_t1_p2,,,883540364.0,ns,2
argon2id,verify,m802816_t1_p2,,,888005690.0,ns,2
argon2id,verify,m802816_t1_p2,,,891294169.0,ns,2
argon2id,verify,m802816_t1_p2,,,888585671.0,ns,2
argon2id,verify,m802816_t1_p2,,,885310288.0,ns,2
argon2id,verify,m802816_t1_p2,,,882681600.0,ns,2
