group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
argon2id,hash,m851968_t2_p16,,,797205348.0,ns,1
argon2id,hash,m851968_t2_p16,,,798154959.0,ns,1
argon2id,hash,m851968_t2_p16,,,798210565.0,ns,1
argon2id,hash,m851968_t2_p16,,,798685997.0,ns,1
argon2id,hash,m851968_t2_p16,,,797789758.0,ns,1
argon2id,hash,m851968_t2_p16,,,808197837.0,ns,1
argon2id,hash,m851968_t2_p16,,,801759735.0,ns,1
argon2id,hash,m851968_t2_p16,,,796687946.0,ns,1
argon2id,hash,m851968_t2_p16,,,798244937.0,ns,1
argon2id,hash,m851968_t2_p16,,,798108301.0,ns,1
