group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
argon2id,verify,m376832_t2_p16,,,680140124.0,ns,2
argon2id,verify,m376832_t2_p16,,,669023614.0,ns,2
argon2id,verify,m376832_t2_p16,,,670409644.0,ns,2
argon2id,verify,m376832_t2_p16,,,672698174.0,ns,2
argon2id,verify,m376832_t2_p16,,,669701902.0,ns,2
argon2id,verify,m376832_t2_p16,,,666847761.0,ns,2
argon2id,verify,m376832_t2_p16,,,667889352.0,ns,2
argon2id,verify,m376832_t2_p16,,,674077878.0,ns,2
argon2id,verify,m376832_t2_p16,,,677830520.0,ns,2
argon2id,verify,m376832_t2_p16,,,674132253.0,ns,2
