group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
argon2id,hash,m638976_t1_p8,,,694597798.0,ns,2
argon2id,hash,m638976_t1_p8,,,690879554.0,ns,2
argon2id,hash,m638976_t1_p8,,,692324514.0,ns,2
argon2id,hash,m638976_t1_p8,,,694597124.0,ns,2
argon2id,hash,m638976_t1_p8,,,690545753.0,ns,2
argon2id,hash,m638976_t1_p8,,,705681868.0,ns,2
argon2id,hash,m638976_t1_p8,,,682378370.0,ns,2
argon2id,hash,m638976_t1_p8,,,683817029.0,ns,2
argon2id,hash,m638976_t1_p8,,,680949808.0,ns,2
argon2id,hash,m638976_t1_p8,,,691216272.0,ns,2
