group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
argon2id,hash,m704512_t3_p1,,,997086281.0,ns,1
argon2id,hash,m704512_t3_p1,,,1002579863.0,ns,1
argon2id,hash,m704512_t3_p1,,,995945664.0,ns,1
argon2id,hash,m704512_t3_p1,,,994874697.0,ns,1
argon2id,hash,m704512_t3_p1,,,996178995.0,ns,1
argon2id,hash,m704512_t3_p1,,,997254185.0,ns,1
argon2id,hash,m704512_t3_p1,,,995380019.0,ns,1
argon2id,hash,m704512_t3_p1,,,999202854.0,ns,1
argon2id,hash,m704512_t3_p1,,,990078612.0,ns,1
argon2id,hash,m704512_t3_p1,,,988841602.0,ns,1
