group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
argon2id,hash,m245760_t1_p8,,,120704860.0,ns,1
argon2id,hash,m245760_t1_p8,,,243858433.0,ns,2
argon2id,hash,m245760_t1_p8,,,364898993.0,ns,3
argon2id,hash,m245760_t1_p8,,,485357416.0,ns,4
argon2id,hash,m245760_t1_p8,,,606381463.0,ns,5
argon2id,hash,m245760_t1_p8,,,730233449.0,ns,6
argon2id,hash,m245760_t1_p8,,,850791404.0,ns,7
argon2id,hash,m245760_t1_p8,,,984031366.0,ns,8
argon2id,hash,m245760_t1_p8,,,1094139275.0,ns,9
argon2id,hash,m245760_t1_p8,,,1213607919.0,ns,10
