group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
argon2id,verify,m786432_t2_p1,,,781570151.0,ns,1
argon2id,verify,m786432_t2_p1,,,791238824.0,ns,1
argon2id,verify,m786432_t2_p1,,,789296796.0,ns,1
argon2id,verify,m786432_t2_p1,,,776520454.0,ns,1
argon2id,verify,m786432_t2_p1,,,776274913.0,ns,1
argon2id,verify,m786432_t2_p1,,,771945258.0,ns,1
argon2id,verify,m786432_t2_p1,,,779002266.0,ns,1
argon2id,verify,m786432_t2_p1,,,778772173.0,ns,1
argon2id,verify,m786432_t2_p1,,,774857538.0,ns,1
argon2id,verify,m786432_t2_p1,,,779477888.0,ns,1
