group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
argon2id,hash,m1015808_t3_p4,,,1393028785.0,ns,1
argon2id,hash,m1015808_t3_p4,,,1390667251.0,ns,1
argon2id,hash,m1015808_t3_p4,,,1390997280.0,ns,1
argon2id,hash,m1015808_t3_p4,,,1391071079.0,ns,1
argon2id,hash,m1015808_t3_p4,,,1393751473.0,ns,1
argon2id,hash,m1015808_t3_p4,,,1390715421.0,ns,1
argon2id,hash,m1015808_t3_p4,,,1390776976.0,ns,1
argon2id,hash,m1015808_t3_p4,,,1388922864.0,ns,1
argon2id,hash,m1015808_t3_p4,,,1391327570.0,ns,1
argon2id,hash,m1015808_t3_p4,,,1396360341.0,ns,1
