group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
argon2id,hash,m638976_t3_p16,,,863095792.0,ns,1
argon2id,hash,m638976_t3_p16,,,861058895.0,ns,1
argon2id,hash,m638976_t3_p16,,,862171270.0,ns,1
argon2id,hash,m638976_t3_p16,,,860777451.0,ns,1
argon2id,hash,m638976_t3_p16,,,861302632.0,ns,1
argon2id,hash,m638976_t3_p16,,,864330890.0,ns,1
argon2id,hash,m638976_t3_p16,,,863191044.0,ns,1
argon2id,hash,m638976_t3_p16,,,864566481.0,ns,1
argon2id,hash,m638976_t3_p16,,,865264835.0,ns,1
argon2id,hash,m638976_t3_p16,,,862308096.0,ns,1
