group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
argon2id,hash,m163840_t2_p8,,,141465074.0,ns,1
argon2id,hash,m163840_t2_p8,,,283688462.0,ns,2
argon2id,hash,m163840_t2_p8,,,446638110.0,ns,3
argon2id,hash,m163840_t2_p8,,,564360414.0,ns,4
argon2id,hash,m163840_t2_p8,,,709476308.0,ns,5
argon2id,hash,m163840_t2_p8,,,851864434.0,ns,6
argon2id,hash,m163840_t2_p8,,,991949780.0,ns,7
argon2id,hash,m163840_t2_p8,,,1134255601.0,ns,8
argon2id,hash,m163840_t2_p8,,,1277299268.0,ns,9
argon2id,hash,m163840_t2_p8,,,1422723409.0,ns,10
