group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
argon2id,verify,m622592_t3_p8,,,832461926.0,ns,1
argon2id,verify,m622592_t3_p8,,,831859839.0,ns,1
argon2id,verify,m622592_t3_p8,,,833382156.0,ns,1
argon2id,verify,m622592_t3_p8,,,832098506.0,ns,1
argon2id,verify,m622592_t3_p8,,,832840903.0,ns,1
argon2id,verify,m622592_t3_p8,,,839417700.0,ns,1
argon2id,verify,m622592_t3_p8,,,857759445.0,ns,1
argon2id,verify,m622592_t3_p8,,,832183370.0,ns,1
argon2id,verify,m622592_t3_p8,,,832493994.0,ns,1
argon2id,verify,m622592_t3_p8,,,842006570.0,ns,1
