group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
argon2id,hash,m409600_t3_p4,,,544491129.0,ns,1
argon2id,hash,m409600_t3_p4,,,544385063.0,ns,1
argon2id,hash,m409600_t3_p4,,,544770126.0,ns,1
argon2id,hash,m409600_t3_p4,,,545765645.0,ns,1
argon2id,hash,m409600_t3_p4,,,556164450.0,ns,1
argon2id,hash,m409600_t3_p4,,,547755099.0,ns,1
argon2id,hash,m409600_t3_p4,,,547365699.0,ns,1
argon2id,hash,m409600_t3_p4,,,551319363.0,ns,1
argon2id,hash,m409600_t3_p4,,,549575625.0,ns,1
argon2id,hash,m409600_t3_p4,,,554051128.0,ns,1
