group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
argon2id,hash,m540672_t2_p1,,,529584180.0,ns,1
argon2id,hash,m540672_t2_p1,,,530733196.0,ns,1
argon2id,hash,m540672_t2_p1,,,528366654.0,ns,1
argon2id,hash,m540672_t2_p1,,,532374588.0,ns,1
argon2id,hash,m540672_t2_p1,,,529854407.0,ns,1
argon2id,hash,m540672_t2_p1,,,529119357.0,ns,1
argon2id,hash,m540672_t2_p1,,,528513709.0,ns,1
argon2id,hash,m540672_t2_p1,,,528822209.0,ns,1
argon2id,hash,m540672_t2_p1,,,529447993.0,ns,1
argon2id,hash,m540672_t2_p1,,,529552351.0,ns,1
